alpha_deg,lambda0,lambda0_residual,lambda,lambda_residual,lambda1,lambda1_residual,lambda2,lambda2_residual,lambda1_symmetry,lambda1_symmetry_residual,lambda1_D1_printed,lambda1_D1_printed_residual,lambda1_symmetry_error
72.0,-0.0300136197627345,5.691835891497021e-11,-0.3177594641655551,5.058786722855757e-12,-0.24316271723391375,4.8500981009169664e-11,-0.2911667276664269,7.24616477931761e-11,-0.24316271723391375,9.700040770610485e-11,,,0.0
73.0,-0.028223329609750922,1.72938330322836e-11,-0.30351021014040913,6.073599956302189e-12,-0.234363332958989,3.147104798983946e-11,-0.2794987106316064,7.532821588718264e-11,-0.234363332958989,6.294387233651833e-11,,,0.0
74.0,-0.02645628533929039,2.2885082717749583e-11,-0.28893915840508155,1.3856013558743996e-11,-0.22520717347891184,1.150668449412251e-11,-0.26737657196852405,8.847123034172455e-11,-0.22520717347891184,2.301203672061547e-11,,,0.0
75.0,-0.024710904185805342,4.5700332407250244e-11,-0.2740344390285886,1.4056533714779107e-11,-0.21567265394952467,2.025157819218748e-12,-0.25479047128431004,6.163707738648938e-11,-0.21567265394952467,4.048650303900558e-12,,,0.0
76.0,-0.02298557043430137,1.6825429938194247e-11,-0.25878359405629625,1.2864570519965923e-12,-0.2057360685073491,8.189454669960128e-11,-0.24173003529673948,2.1527397919829383e-11,-0.20573606851330956,3.891087452245756e-11,,,5.960454352305078e-12
77.0,-0.02127864374114497,3.404641846227463e-11,-0.24317353001693875,3.9414423114170205e-11,-0.19537124953368007,6.161726684439373e-11,-0.22818422732390412,8.031347809023259e-11,-0.19537124952771961,6.774680816334921e-11,,,5.960454352305078e-12
78.0,-0.019588465762100632,9.72420199918389e-11,-0.22719046475527835,3.998400222027243e-11,-0.1845491470007745,9.957423774409335e-11,-0.21414119441022278,4.163825881309258e-11,-0.18454914700673497,2.0451751403527396e-11,,,5.9604821078806935e-12
79.0,-0.017913365516748266,6.093889282077214e-11,-0.2108198677440139,2.322056436021569e-11,-0.17323730339070384,2.3784973990359504e-11,-0.19958808524617644,1.1561866047893332e-11,-0.17323730339070384,4.757128024834856e-11,,,0.0
80.0,-0.016251663870752563,6.329711060848453e-11,-0.19404639248019445,1.950135886108484e-11,-0.16139918915126222,4.250189089560763e-11,-0.1845108298933865,7.97362210980257e-11,-0.16139918915126222,8.50026160570394e-11,,,0.0
81.0,-0.014601676253834715,1.1902485941295282e-11,-0.17685380013167115,6.303726984846492e-11,-0.1489933501826698,6.50060283380327e-11,-0.1688938674152366,3.818002684841115e-11,-0.14899335018863025,8.535450124469435e-12,,,5.960454352305078e-12
82.0,-0.012961715330060434,8.187688027572193e-11,-0.15922487215668932,5.392662531800152e-11,-0.13597229596063087,3.9928227391072824e-11,-0.15271980167197596,1.567838046889758e-11,-0.13597229596063087,7.985556660372595e-11,,,0.0
83.0,-0.011330091999197999,1.4229367684137628e-11,-0.1411413107641339,1.100089637440238e-11,-0.12228102349886064,7.556005821029999e-11,-0.135968955287251,6.003890960781799e-12,-0.12228102348693971,6.740041857966617e-11,,,1.1920922582397964e-11
84.0,-0.009705116350392555,3.917965257782541e-11,-0.12258362370967413,8.671726054246265e-11,-0.10785501735103278,3.058676922851333e-11,-0.11861877627195755,6.606403748707357e-11,-0.10785501735103278,6.117437112429513e-11,,,0.0
